date,start_balance,end_balance,pnl,trades_opened,trades_closed,wins,losses,win_rate,best_tool,worst_tool
2026-03-28,334.49,334.49,0.00,1,0,0,0,0.0,,
2026-03-29,337.99,335.64,0.00,6,0,0,0,0.0,,
2026-04-04,343.91,343.51,-5.83,0,5,2,3,40.0,btc_alt_spread,reconciled
2026-04-05,343.51,343.24,0.00,0,0,0,0,0.0,,
2026-04-06,343.24,341.84,0.00,0,0,0,0,0.0,,
2026-04-07,341.84,371.46,0.00,0,0,0,0,0.0,,
2026-04-11,320.02,320.03,0.00,0,0,0,0,0.0,,
2026-04-12,343.78,342.68,-1.23,0,1,0,1,0.0,quick_dip,quick_dip
2026-04-13,342.68,346.44,3.36,2,3,3,0,100.0,btc_alt_spread,btc_alt_spread
2026-04-14,340.38,343.80,4.63,1,1,2,-1,200.0,quick_dip,quick_dip
2026-04-15,329.45,329.26,0.00,1,0,0,0,0.0,,
2026-04-16,349.01,350.36,1.89,0,1,1,0,100.0,dip_buy_5pct,dip_buy_5pct
2026-04-17,356.25,356.25,0.00,0,0,0,0,0.0,,
2026-04-18,356.25,343.54,-8.74,9,1,0,1,0.0,dip_buy_5pct,dip_buy_5pct
2026-04-19,339.59,337.38,0.00,0,0,0,0,0.0,,
2026-04-20,337.38,345.57,1.16,1,4,2,2,50.0,mega_crash,dip_buy_5pct
2026-04-21,340.51,340.13,0.00,1,0,0,0,0.0,,
2026-04-23,321.43,322.11,0.00,0,0,0,0,0.0,,
2026-04-24,322.11,320.70,0.92,0,2,2,0,100.0,btc_alt_spread,btc_alt_spread
2026-04-25,320.70,321.02,1.07,0,1,1,0,100.0,btc_alt_spread,btc_alt_spread
2026-04-26,321.02,321.28,0.00,0,0,0,0,0.0,,
2026-04-27,321.28,313.72,-1.89,24,3,0,3,0.0,btc_alt_spread,buy_btc_leading
2026-04-28,313.72,310.84,-1.70,4,2,0,2,0.0,btc_alt_spread,btc_alt_spread
2026-04-29,310.26,308.09,-4.24,1,4,0,4,0.0,btc_alt_spread,simple_buy_uptrend
2026-04-30,308.09,308.02,-0.30,0,1,0,1,0.0,vpin_toxic,vpin_toxic
