timestamp,event,pair,tool,direction,price,score,base_score,mtf_penalty_applied,trend_4h,rsi_4h,bullish_4h_pct,fng,fng_regime,leverage,position_size,sl_pct,hold_bars,reason,range_pos_24h,atr_pct,short_pressure_score,liquidity_cap_usage,correlation_group,collapse_gate,range_pct_24h,btc_trend_4h,btc_ret_24h,evidence_tier,evidence_risk_mult,evidence_live_trades,evidence_live_pnl,pnl_pct,pnl_dollar,bars_held,close_reason,tool_streak,balance,active_balance
2026-03-26 03:54:19,OPEN,TAOUSD,distribution_short,short,340.042536,36.03,90.07,0.40,bullish,56.6,75,10,Extreme Fear,1,156.00,0.040,24,DISTRIBUTION SHORT: lower highs; vol decline; RSI fall,,,,,,,,,,,,,,,,,,0,300.00,39.00
2026-03-26 03:54:36,OPEN,BNBUSD,falling_wedge_short,short,642.721200,23.49,58.73,0.40,bullish,52.4,75,10,Extreme Fear,1,31.20,0.040,24,FALLING WEDGE SHORT: converging pattern; price>$640.12 SMA50,,,,,,,,,,,,,,,,,,0,300.00,7.80
2026-03-26 03:54:54,OPEN,ATOMUSD,btc_alt_spread,long,1.741229,5.35,6.69,0.80,bearish,31.0,75,10,Extreme Fear,1,6.24,0.050,24,BTC ALT SPREAD: BTC +0.1% vs ATOMUSD -3.0%; RSI=17.9,,,,,,,,,,,,,,,,,,0,300.00,1.56
2026-03-26 04:09:17,OPEN,ENAUSD,ema_cross_short,short,0.104352,10.46,26.15,0.40,bullish,76.9,67,10,Extreme Fear,1,1.25,0.030,24,EMA CROSS SHORT: EMA5>$0.11 > EMA13$0.10; price>SMA50,,,,,,,,,,,,,,,,,,0,300.00,0.31
2026-03-26 04:09:35,OPEN,ONDOUSD,ema_cross_short,short,0.267134,7.41,18.52,0.40,bullish,67.0,67,10,Extreme Fear,1,0.25,0.030,24,EMA CROSS SHORT: EMA5>$0.27 > EMA13$0.27; price>SMA50,,,,,,,,,,,,,,,,,,0,300.00,0.06
2026-03-26 12:09:14,CLOSE,ENAUSD,ema_cross_short,short,0.097900,,,,,,13,10,Extreme Fear,,,,,,,,,,,,,,,,,,,0.0553,0.0691,8.0,Take profit @ $0.0981,W1,300.08,1.38
2026-03-26 12:09:31,OPEN,FLOKIUSD,btc_alt_spread,long,0.000029,11.11,13.88,0.80,bearish,26.1,13,10,Extreme Fear,1,1.10,0.050,24,BTC ALT SPREAD: BTC -3.3% vs FLOKIUSD -7.4%; RSI=7.9,,,,,,,,,,,,,,,,,,0,300.08,0.28
2026-03-27 01:14:39,CLOSE,ONDOUSD,ema_cross_short,short,0.275520,,,,,,8,13,Extreme Fear,,,,,,,,,,,,,,,,,,,-0.0379,-0.0095,21.1,Stop loss @ $0.2751,L1,300.24,0.52
2026-03-27 01:14:59,OPEN,ONDOUSD,ema_cross_short,short,0.275658,9.89,24.72,0.40,bullish,68.9,8,13,Extreme Fear,1,0.41,0.030,24,EMA CROSS SHORT: EMA5>$0.27 > EMA13$0.27; price>SMA50,,,,,,,,,,,,,,,,,,L1,300.24,0.10
2026-03-27 02:14:40,CLOSE,ONDOUSD,ema_cross_short,short,0.284060,,,,,,10,13,Extreme Fear,,,,,,,,,,,,,,,,,,,-0.0370,-0.0153,1.0,Stop loss @ $0.2839,L2,300.24,0.50
2026-03-27 02:14:57,OPEN,ONDOUSD,ema_cross_short,short,0.284202,13.35,33.38,0.40,bullish,74.7,10,13,Extreme Fear,1,0.40,0.030,24,EMA CROSS SHORT: EMA5>$0.28 > EMA13$0.27; price>SMA50,,,,,,,,,,,,,,,,,,L2,300.24,0.10
2026-03-27 03:54:41,CLOSE,TAOUSD,distribution_short,short,340.333300,,,,,,13,13,Extreme Fear,,,,,,,,,,,,,,,,,,,-0.0074,-1.1474,24.0,Hold timeout (24.0h),L1,299.09,154.95
2026-03-27 03:54:41,CLOSE,BNBUSD,falling_wedge_short,short,628.140000,,,,,,13,13,Extreme Fear,,,,,,,,,,,,,,,,,,,0.0162,0.5050,24.0,Hold timeout (24.0h),W1,299.60,186.66
2026-03-27 03:55:00,OPEN,TAOUSD,alt_btc_revert_t3,short,340.503467,2.52,6.30,0.40,bullish,56.1,13,13,Extreme Fear,1,149.33,0.030,24,ALT BTC REVERT T3: TAOUSD +0.3% vs BTC -2.9% (+3.2%),,,,,,,,,,,,,,,,,,0,299.60,37.33
2026-03-27 03:59:40,CLOSE,ATOMUSD,btc_alt_spread,long,1.704400,,,,,,13,13,Extreme Fear,,,,,,,,,,,,,,,,,,,-0.0277,-0.1725,24.1,Hold timeout (24.1h),L1,299.43,43.40
2026-03-27 04:09:59,OPEN,RENDERUSD,alt_btc_revert_t3,short,1.787893,2.53,6.32,0.40,bullish,53.5,10,13,Extreme Fear,1,34.72,0.030,24,ALT BTC REVERT T3: RENDERUSD -0.3% vs BTC -3.5% (+3.2%),,,,,,,,,,,,,,,,,,0,299.43,8.68
2026-03-27 04:40:03,OPEN,TRXUSD,ema_cross_short,short,0.313258,4.37,10.91,0.40,bullish,59.3,15,13,Extreme Fear,1,6.94,0.030,24,EMA CROSS SHORT: EMA5>$0.31 > EMA13$0.31; price>SMA50,,,,,,,,,,,,,,,,,,L2,299.43,1.74
2026-03-27 11:55:02,CLOSE,ONDOUSD,ema_cross_short,short,0.266930,,,,,,8,13,Extreme Fear,,,,,,,,,,,,,,,,,,,0.0543,0.0217,9.7,Take profit @ $0.2671,W1,299.79,2.16
2026-03-27 11:55:26,OPEN,LINKUSD,blood_in_streets,long,8.596440,17.69,17.69,1.00,bearish,18.0,8,13,Extreme Fear,2,1.73,0.060,24,BLOOD IN STREETS: 87% panic + RSI=11.2,,,,,,,,,,,,,,,,,,0,299.79,0.43
2026-03-27 12:09:59,CLOSE,FLOKIUSD,btc_alt_spread,long,0.000028,,,,,,8,13,Extreme Fear,,,,,,,,,,,,,,,,,,,-0.0307,-0.0339,24.0,Hold timeout (24.0h),L2,299.76,1.50
2026-03-27 12:10:22,OPEN,AAVEUSD,blood_in_streets,long,101.109420,16.02,16.02,1.00,bearish,19.9,8,13,Extreme Fear,2,1.20,0.060,24,BLOOD IN STREETS: 74% panic + RSI=12.0,,,,,,,,,,,,,,,,,,0,299.76,0.30
2026-03-27 12:30:06,CLOSE,TAOUSD,alt_btc_revert_t3,short,319.254300,,,,,,8,13,Extreme Fear,,,,,,,,,,,,,,,,,,,0.0559,8.3481,8.6,Take profit @ $320.0733,W1,308.11,157.97
2026-03-27 12:30:30,OPEN,ETHUSD,blood_in_streets,long,1985.496755,13.56,13.56,1.00,bearish,16.6,8,13,Extreme Fear,2,126.38,0.060,24,BLOOD IN STREETS: 74% panic + RSI=13.2,,,,,,,,,,,,,,,,,,0,308.11,31.57
2026-03-27 13:35:03,CLOSE,RENDERUSD,alt_btc_revert_t3,short,1.680000,,,,,,8,13,Extreme Fear,,,,,,,,,,,,,,,,,,,0.0538,1.8695,9.4,Take profit @ $1.6806,W2,309.98,68.16
2026-03-27 13:35:28,OPEN,BCHUSD,alt_btc_revert_t3,short,463.261515,11.48,8.83,1.30,bearish,43.6,8,13,Extreme Fear,1,54.53,0.030,24,ALT BTC REVERT T3: BCHUSD -0.3% vs BTC -4.7% (+4.4%),,,,,,,,,,,,,,,,,,W2,309.98,13.63
