segment,strategy,family,start,end,final_balance,return_pct,max_drawdown_pct,trades,win_rate,profit_factor,avg_trade_pct,sharpe
train,trend_donchian_120_vol_1.0,trend_breakout,2023-08-17 01:00:00+00:00,2025-03-17 05:00:00+00:00,230.74,-23.09,27.76,671,0.303,0.806,-0.367,-0.86
test,trend_donchian_120_vol_1.0,trend_breakout,2025-03-17 06:00:00+00:00,2026-03-27 04:00:00+00:00,284.71,-5.1,11.28,290,0.321,0.888,-0.16,-0.432
full,trend_donchian_120_vol_1.0,trend_breakout,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,218.59,-27.14,32.33,961,0.308,0.824,-0.306,-0.726
train,trend_donchian_120_vol_1.3,trend_breakout,2023-08-17 01:00:00+00:00,2025-03-17 05:00:00+00:00,244.64,-18.45,23.88,643,0.314,0.841,-0.293,-0.659
test,trend_donchian_120_vol_1.3,trend_breakout,2025-03-17 06:00:00+00:00,2026-03-27 04:00:00+00:00,286.24,-4.59,11.02,282,0.323,0.897,-0.145,-0.395
full,trend_donchian_120_vol_1.3,trend_breakout,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,232.99,-22.34,28.4,925,0.317,0.854,-0.25,-0.574
train,trend_donchian_240_vol_1.0,trend_breakout,2023-08-17 01:00:00+00:00,2025-03-17 05:00:00+00:00,242.14,-19.29,26.25,564,0.298,0.821,-0.348,-0.701
test,trend_donchian_240_vol_1.0,trend_breakout,2025-03-17 06:00:00+00:00,2026-03-27 04:00:00+00:00,281.35,-6.22,10.78,245,0.327,0.843,-0.242,-0.602
full,trend_donchian_240_vol_1.0,trend_breakout,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,227.09,-24.3,29.92,809,0.307,0.826,-0.316,-0.653
train,trend_donchian_240_vol_1.3,trend_breakout,2023-08-17 01:00:00+00:00,2025-03-17 05:00:00+00:00,265.98,-11.34,19.6,532,0.312,0.891,-0.194,-0.365
test,trend_donchian_240_vol_1.3,trend_breakout,2025-03-17 06:00:00+00:00,2026-03-27 04:00:00+00:00,280.72,-6.43,12.19,238,0.324,0.836,-0.259,-0.632
full,trend_donchian_240_vol_1.3,trend_breakout,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,248.89,-17.04,23.05,770,0.316,0.877,-0.214,-0.423
train,trend_donchian_480_vol_1.0,trend_breakout,2023-08-17 01:00:00+00:00,2025-03-17 05:00:00+00:00,295.44,-1.52,17.38,412,0.311,0.984,0.003,0.024
test,trend_donchian_480_vol_1.0,trend_breakout,2025-03-17 06:00:00+00:00,2026-03-27 04:00:00+00:00,310.67,3.56,7.19,143,0.378,1.134,0.273,0.451
full,trend_donchian_480_vol_1.0,trend_breakout,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,305.95,1.98,17.38,555,0.328,1.017,0.072,0.124
train,trend_donchian_480_vol_1.3,trend_breakout,2023-08-17 01:00:00+00:00,2025-03-17 05:00:00+00:00,308.86,2.95,14.81,395,0.322,1.033,0.114,0.195
test,trend_donchian_480_vol_1.3,trend_breakout,2025-03-17 06:00:00+00:00,2026-03-27 04:00:00+00:00,308.51,2.84,6.87,139,0.374,1.11,0.229,0.375
full,trend_donchian_480_vol_1.3,trend_breakout,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,317.62,5.87,14.81,534,0.335,1.05,0.144,0.23
